Sample,Unit,Spot,1H,12C,19F,35Cl,Ca/Si
QVC009,Granodiorite Porphyry,CN-QVC009@10.asc,1.494054509,0.204110227,1.269450983,2.043600649,44.99753692
QVC009,Granodiorite Porphyry,CN-QVC009@15.asc,1.311382586,0.233333233,2.580829999,0.758719943,103.6554379
QVC009,Granodiorite Porphyry,CN-QVC009@16.asc,1.549052035,0.184775929,1.152010932,1.413902291,182.8637866
QVC028,Quellaveco Granodiorite,CN-QVC028@26.asc,1.170045468,0.143374458,1.236205475,1.737409817,646.1726295
QVC028,Quellaveco Granodiorite,CN-QVC028@27.asc,1.247174498,0.137173744,1.199834191,1.819163281,1440.320656
QVC074,Yarabamba Monzonite,CN-QVC074@28.asc,2.97324784,2.983089425,2.424364866,0.655546138,48.57351751
QVC074,Yarabamba Monzonite,CN-QVC074@29.asc,1.401319878,0.331955994,2.36679831,0.621398599,76.31636672
QVC060,Intermineral Monzonite,CN-QVC060@36.asc,1.392466074,0.25959871,1.843438073,0.404815647,203.8585746
QVC041,Dacite Dyke,CN-QVC041@5R.asc,1.395341236,0.065823744,1.889040881,0.957215345,1228.194118
QVC034,Early Porphyry,CN-QVC034@4R.asc,1.692341585,0.127735074,1.320443,1.572542714,128.1129865
QVC058,Quellaveco Granodiorite,CN-QVC058@14.asc,1.269623509,0.593044797,1.15773019,1.713291409,102.6377772
QVC041,Dacite Dyke,CN-QVC041@7.asc,2.007560179,0.225646326,1.476447589,1.00582928,44.45797567
QVC041,Dacite Dyke,CN-QVC041@6.asc,1.975069813,0.16382901,1.469975671,1.293307404,20.52202567
QVC041,Dacite Dyke,CN-QVC041@8.asc,1.983955654,0.180000217,1.245057507,0.704262157,29.46151491
QVC058,Quellaveco Granodiorite,CN-QVC058@19.asc,1.574545124,0.166032054,1.879942995,1.122479187,33.33723327
QVC058,Quellaveco Granodiorite,CN-QVC058@20.asc,2.006603303,0.278620075,1.689481017,1.205987385,21.35373659
QVC075,Yarabamba Monzonite,CN-QVC075@23.asc,1.610527828,0.103455242,2.454332741,0.753036237,19.72276974
QVC029,Late Porphyry,CN-QVC029@13.asc,1.00251295,0.149919177,1.329253544,0.944321848,217.4039
QVC029,Late Porphyry,CN-QVC029@12.asc,1.111078861,0.08130859,1.245498717,0.759108883,54.19639104
QVC024,Intermineral Monzonite,CN-QVC024@8.asc,1.121603914,0.123236472,1.544563991,1.200757928,52.8634499
QVC061,Monzodiorite,CN-QVC061@1.asc,1.498830363,0.167050426,1.445981302,0.453902249,25.7622896
QVC029,Late Porphyry,CN-QVC029@12.asc,1.111078861,0.08130859,1.347401094,0.821216534,54.19639104
QVC029,Late Porphyry,CN-QVC029@14.asc,1.297980011,0.201141324,1.233844442,1.162868524,29.82652077
QVC029,Late Porphyry,CN-QVC029@16.asc,1.570135434,0.161736235,1.517968751,1.181073833,16.25200631
QVC029,Late Porphyry,CN-QVC029@18.asc,1.326766918,0.472107259,2.195047875,0.896253213,17.8969785
