Author,Deposit ,MT Cu,Vein Type,Inclusion Type ,Original Inclusion Type,Sample No.,Ag ,As ,Au ,B ,Ba ,Bi ,Ca ,Ce,Cl,Co,Cs,Cu,Fe ,K ,La,Li ,Mg ,Mn ,Mo ,Na ,Nb,Ni,Pb ,Rb ,Sb,Sn ,Sr ,Ta,Tl ,U,V,W ,Y,Zn 
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4b ,75.0,65.0,,179.0,60.0,4.0,4368.0,,,,47.0,5302,31909.0,23897.0,,6.0,559.0,3597.0,3.0,129608.0,,,1571.0,236.0,,10.0,32.0,,7.0, ,,18.0,,1752.0
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4b ,5.0,117.0,,241.0,46.0,4.0,5557.0,,,,72.0,10666,83981.0,40754.0,,22.0,681.0,5387.0,7.0,94534.0,,,1281.0,407.0,,26.0,43.0,,5.0, ,,62.0,,3922.0
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4b ,9.0,75.0,,182.0,40.0,3.0,3185.0,,,,69.0,9792,82916.0,33635.0,,35.0,658.0,5003.0,7.0,98582.0,,,1536.0,395.0,,10.0,48.0,,10.0, ,,76.0,,4043.0
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4b ,12.0,143.0,,84.0,55.0,7.0,6105.0,,,,55.0,12871,84909.0,30157.0,,70.0,700.0,6038.0,7.0,97968.0,,,1353.0,360.0,,19.0,65.0,,9.0, ,,30.0,,3888.0
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4b ,10.0,67.0,,243.0,55.0,4.0,10810.0,,,,73.0,13513,96049.0,25297.0,,92.0,925.0,6332.0,44.0,95140.0,,,1738.0,313.0,,26.0,43.0,,4.0, ,,625.0,,3367.0
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4 ,,47.0,0.7,,,,,,,,,1514,98128.0,25662.0,,,,6745.0,5.0,108131.0,,,,,,9.0,,,, ,,97.0,,
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4 ,,53.0,0.3,,,,,,,,,3403,95395.0,46696.0,,,,6441.0,38.0,109153.0,,,,,,5.0,,,, ,,69.0,,
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4 ,,37.0,0.8,,,,,,,,,8071,96616.0,42471.0,,,,11037.0,48.0,97840.0,,,,,,9.0,,,, ,,392.0,,
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4 ,,52.0,0.7,,,,,,,,,2678,76565.0,30295.0,,,,6663.0,28.0,117892.0,,,,,,10.0,,,, ,,220.0,,
Klemm,Los Pelambres ,27,,BHO,BHO (B),Pel-4 ,,88.0,0.5,,,,,,,,,2958,62827.0,40547.0,,,,4958.0,5.0,74410.0,,,,,,11.0,,,, ,,38.0,,
