Location,Sample Info,Mineralisation,Reference,Type,NaClequiv,Th ,"Li
(ppm)","Be
(ppm)","B
(ppm)","Na
(ppm)","Mg
(ppm)","Al
(ppm)","S
(ppm)","Cl
(ppm)","K
(ppm)","Ca
(ppm)","Mn
(ppm)","Fe
(ppm)",Cu,"Zn
(ppm)","Ga
(ppm)","Ge
(ppm)","As
(ppm)","Br
(ppm)","Se
(ppm)","Rb
(ppm)","Sr
(ppm)","Y
(ppm)","Zr
(ppm)","Nb
(ppm)","Mo
(ppm)","Ag
(ppm)","Cd
(ppm)","In
(ppm)","Sn
(ppm)","Sb
(ppm)","Te
(ppm)","Cs
(ppm)","Ba
(ppm)","Ce
(ppm)","Ta
(ppm)","W
(ppm)","Au
(ppm)","Tl
(ppm)","Pb
(ppm)","Bi
(ppm)","Th
(ppm)","U
(ppm)"
"Rito del Medio Pluton, USA (barren)",Miarolitic cavity 5,Barren,Zajacz et al. (2008),ID,4.9,420,690,,580,14900, ,-98,,,6885,,3497,4106,72,851,,,41,,,143,31,,11, ,133,6,,,27,6,,53,4,3, ,11,,,196,12,3,1
"Rito del Medio Pluton, USA (barren)",Miarolitic cavity 8,Barren,Audétat & Zhang (2019),ID,6.156315704,418,859.0217438,,891.5749386,18692.55252,505.8543088,1881.020268,3988.809093,39079.35768,5581.287978,-37461.89212,4522.246252,3126.698298,1136.841651,1005.997793,-0.645931721,18.94727477,92.19806398,-122.9516793,-10.7002754,122.0994826,0.131690897,,,-0.12200519,180.1700902,-5.506579407,4.397406437,0.755334105,-61.67039078,9.988800713,-3.527857403,113.7006205,-0.919167514,1.008878686,-0.134086513,20.30753098,,2.019903909,145.6438017,42.53683184,-2.778493286,-1.945339075
"Rito del Medio Pluton, USA (barren)",Miarolitic cavity 8,Barren,Audetat & Pettke (2003),ID,6.7,420,278.6827911,,-2400,18300,-2.132658088,2500,,,8700,-50200,7000,4300,1800,1600,0.233942623,13.78506118,-350,-34.23410331,-3.885698592,160,-0.059932791,,,-0.085118065,220,-30,-0.432006554,1.513036765,-310,18.08868584,-1.069026653,93,-0.46166364,-10,-0.030397504,33,,0.757518175,190,, ,-5
"Cañada Pinabete Pluton, USA (barren)",Miarolitic cavity 11,Barren,Audetat & Pettke (2003),ID,4.8,410,2821.085264,,952.8546477,14766.22575,,19164.28234,,,10012.58364,-5526.584028,939.392061,-562.9961445,-19.23136764,60.91229644,,,69.30884373,,,2400.040385,-1.15743294,1.385622075,,,-15.96883406,-2.884650126,,,67.2952839,23.99047199,,451.675705,-3.549726788,2.4184599,,22.76690402,,,33.30504524,1.517355895,0,2.298920131
"Cañada Pinabete Pluton, USA (barren)",Miarolitic cavity13,Barren,Audétat & Zhang (2019),ID,6.156315704,415,1081.575801,,410.0682941,19132.01143,-23.30828369,304.0162055,6379.351605,35978.52042,6792.125443,-2175.922308,2474.74704,4085.786058,20.20528514,1048.904236,0.790807166,32.07921431,45.45830921,-373.5211057,-43.47982072,163.8046764,-0.924865771,,,-0.597794422,31.40965557,4.232292577,13.28006154,1.692124414,31.76347468,9.081851076,-11.23632303,79.6660911,-3.917946077,0.791314158,-0.649349863,29.30611747,,5.905658492,288.4068119,17.04560098,-0.10745864,0.486151326
"Cañada Pinabete Pluton, USA (barren)",Miarolitic cavity14,Barren,Audétat & Zhang (2019),ID,5.412678909,360,3156.609538,,1677.87677,18861.80562,-30.94961225,4449.650524,-861.1959214,33941.44973,5971.8809,-7947.964536,391.1611044,-192.1378884,31.10435414,109.9454871,1.744778149,-9.47799101,230.3773759,-480.7012926,-46.75963377,288.0933303,-0.993673541,,,-0.966189684,-0.609078924,-0.758322522,-7.901266136,-0.927710714,13.8180083,56.39665813,-12.18090411,631.7489781,-5.970369318,-0.537550265,-0.44031522,3.365460618,,6.308312475,159.2006038,0.809662535,-0.339058278,-0.491277814
"Huangshan, China (barren)",Miarolitic cavity 8,Barren,Audétat & Zhang (2019),ID,4.494745431,393,935.66299,,965.255653,14777.63841,-11.29433681,3351.174871,-401.1412079,29182.68028,3998.310907,-10261.47163,488.218025,2630.200292,59.03739171,335.2064678,-1.145686574,9.278841237,98.97505815,-240.0294452,-19.58319964,142.7605049,0.273270632,,,0.438609221,63.379626,1.046979292,2.748499462,0.354674021,40.35205751,8.865939848,-5.301974507,121.8072288,-1.149522484,-0.812647239,-0.28437557,83.35684065,,2.387847872,71.53322308,14.57923325,-0.732509568,-0.718185276
"Huangshan, China (barren)",Miarolitic cavity 8,Barren,Audétat & Zhang (2019),ID,4.957239,n.a.,1122.170414,,854.0488078,15301.25129,-6.886407659,4477.009872,-183.9956393,31607.87302,7460.591335,-25471.12108,467.6292909,2620.446614,49.30840565,353.1277841,0.767730701,10.76038526,107.5529849,-100.4667501,-7.964014505,239.8775709,-0.161848822,,,0.408034116,73.85298912,-2.588993696,1.069600503,0.271213489,36.17228156,7.454113865,-2.134641013,109.6395316,-0.97857315,-1.255316563,-0.101382846,100.2076433,,3.096416557,95.28711545,11.06909903,-1.64649876,-1.671454928
"Huangshan, China (barren)",Miarolitic cavity 17,Barren,Audétat & Zhang (2019),ID,3.708002936,363,2994.499178,,3791.587798,12698.86166,-9.214304579,11666.84077,-142.3669767,6634.53215,4987.116989,-1503.079875,32.67239958,20.31988896,-1.902485639,4.197591958,1.396922388,-2.331918756,568.5133785,-120.6159381,-12.33141464,1551.334883,-0.155693075,,,0.883849726,102.9149077,-0.122572375,-1.761859477,-0.245422717,-1.637021759,116.0876582,-3.34735028,15670.36226,-0.666283627,-0.073042562,0.561610113,118.6943333,,4.354622718,19.17135104,16.23616168,1.243619675,1.075676744
"Huangshan, China (barren)",Miarolitic cavity 18,Barren,Audétat & Zhang (2019),ID,6.009115721,365,1348.089759,,1503.210618,21069.88148,-1.481181379,3024.231435,391.1439919,33982.74249,5408.430423,-5796.311241,366.0043212,762.5714598,187.3688781,357.1323616,0.595246443,9.140000217,163.4478918,-15.43589912,-1.976480757,404.5012954,0.269738056,,,0.078423858,2.088810374,0.93505805,2.420452887,0.263709471,6.291506201,26.41303581,-0.558303705,650.4821166,-0.190346698,-0.288549019,-0.022729885,30.72016128,,4.457691198,123.2393989,8.335791978,-0.260067224,-0.263507364
