5,Sample,Unit,Unit2,Type,Date,LAICPMS file name,Mineral,Laser spot number,Final spot reference,Zone,Zircon Name,Spot size (?m),Frequency (Hz),Fluence (J/cm2),Method,Number of slices,Date Interpretation,2s uncertainty,Ext unc,Filter,WREu/Eu*,WR_SiO2,WR_MgO,WR_Zr,207Pb/235U,207Pb/235U _2s.,206Pb/238U,206Pb/238U_2s.,Rho,207Pb/206Pb,207Pb/206Pb_2s.,Date_207Pb/235U (Ma),Date_207Pb/235U_2s. (Ma),Date206Pb238UMa,Date206Pb238U2s,Date_207Pb/206Pb (Ma),Date_207Pb/206Pb_2s. (Ma),Al27_ppm,Si28_ppm,P31_ppm,Ca43_ppm,Ti49_ppm,V51_ppm,Fe57_ppm,Y89_ppm,Zr91_ppm,Nb93_ppm,Ba137_ppm,La139_ppm,Ce140_ppm,Pr141_ppm,Nd145_ppm,Sm147_ppm,Eu151_ppm,Gd157_ppm,Tb159_ppm,Dy163_ppm,Ho165_ppm,Er167_ppm,Tm169_ppm,Yb173_ppm,Lu175_ppm,Hf177_ppm,Ta181_ppm,Pb206_ppm,Th232_ppm,U238_ppm,Al27_2s._ppm,P31_2s._ppm,Ca43_2s._ppm,Ti49_2s._ppm,V51_2s._ppm,Fe57_2s._ppm,Y89_2s._ppm,Zr91_2s._ppm,Nb93_2s._ppm,Ba137_2s._ppm,La139_2s._ppm,Ce140_2s._ppm,Pr141_2s._ppm,Nd145_2s._ppm,Sm147_2s._ppm,Eu151_2s._ppm,Gd157_2s._ppm,Tb159_2s._ppm,Dy163_2s._ppm,Ho165_2s._ppm,Er167_2s._ppm,Tm169_2s._ppm,Yb173_2s._ppm,Lu175_2s._ppm,Hf177_2s._ppm,Ta181_2s._ppm,Pb206_2s._ppm,Th232_2s._ppm,U238_2s._ppm,Al27_LOD_ppm,P31_LOD_ppm,Ca43_LOD_ppm,Ti49_LOD_ppm,V51_LOD_ppm,Fe57_LOD_ppm,Y89_LOD_ppm,Zr91_LOD_ppm,Nb93_LOD_ppm,Ba137_LOD_ppm,La139_LOD_ppm,Ce140_LOD_ppm,Pr141_LOD_ppm,Nd145_LOD_ppm,Sm147_LOD_ppm,Eu151_LOD_ppm,Gd157_LOD_ppm,Tb159_LOD_ppm,Dy163_LOD_ppm,Ho165_LOD_ppm,Er167_LOD_ppm,Tm169_LOD_ppm,Yb173_LOD_ppm,Lu175_LOD_ppm,Hf177_LOD_ppm,Ta181_LOD_ppm,Pb206_LOD_ppm,Th232_LOD_ppm,U238_LOD_ppm
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191135_224_QVC19CN075_7_3,Zrc,QVC19CN075_7_3,191135_224_QVC19CN075_7_3_Zrc,,,30,7,3.5,LODE_zrc,20,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.0699,0.0082,0.00998,0.00046,-0.30525,0.0516,0.0067,68.5,7.7,64,3,200,260,3.2,153000,282,<120,8.2,0.289,<7.2,675,509000,1.9,<0.069,0.0118,19.5,0.0263,0.51,1.67,0.136,9.71,3.59,50.2,20.5,111.7,24.6,246,51.3,12810,1.04,9.69,127,256,1.7,23,<120,1.2,0.09,<7.2,22,18000,0.19,<0.069,0.0071,1.3,0.0094,0.27,0.38,0.041,0.73,0.23,2.9,1.1,6.3,1.4,10,2.5,440,0.1,0.54,6.5,15,0.52,20,120,0.49,0.087,7.2,0.0042,0.07,0.0081,0.069,0.0058,0.0037,0.003,0.074,0.042,0.0064,0.019,0.0028,0.043,0.0057,0.03,0.0066,0.057,0.0068,0.029,0.0053,0.037,0.0077,0.0025
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191127_216_QVC19CN075_3_13,Zrc,QVC19CN075_3_13,191127_216_QVC19CN075_3_13_Zrc,,,30,7,3.5,LODE_zrc,11,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.085,0.025,0.01024,0.00097,0.11903,0.061,0.018,82,23,65.7,6.2,430,640,27.2,153000,477,<280,9.3,0.26,21,1051,509000,1.03,<0.17,0.064,12.13,0.064,1.32,2.77,0.226,16,5.79,78.6,31.6,166.4,35.8,342,71.3,11370,0.55,9.7,160.9,260,8.3,24,<280,2.3,0.17,21,38,15000,0.13,<0.17,0.034,0.62,0.02,0.5,0.65,0.077,1.1,0.36,4.6,1.8,6.6,2,13,3.1,370,0.13,0.73,6.5,11,1,40,280,1,0.17,14,0.021,0.21,0.012,0.17,0.012,0.023,0.0088,0.11,0.1,0.031,0.11,0.0083,0.076,0.017,0.073,0.016,0.1,0.0085,0.092,0.0079,0.073,0.012,0.0037
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191117_206_QVC19CN075_3_9,Zrc,QVC19CN075_3_9,191117_206_QVC19CN075_3_9_Zrc,,,30,7,3.5,LODE_zrc,25,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.073,0.016,0.01012,0.00062,-0.11924,0.053,0.013,71,16,64.9,4,250,520,29,153000,255,<450,10.5,0.44,62,619,411600,1.55,<0.35,0.049,11.83,0.053,<0.3,1.3,0.199,8.4,3.19,43,17.58,97.6,22.1,217.2,46.5,11160,0.95,19.4,121.6,490,3.8,42,<450,2.5,0.34,24,23,8400,0.31,<0.35,0.026,0.69,0.026,<0.3,0.44,0.093,1.3,0.42,1.7,0.85,5.5,1.1,9.3,1.9,360,0.22,1.6,8.9,55,1.8,73,450,1.5,0.29,26,0.028,0.22,0.013,0.35,0.018,0.012,0.01,0.3,0.14,0.042,0.13,0.023,0.096,0.0091,0.1,0.022,0.056,0.023,0.046,0.018,0.11,0.012,0.014
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191112_201_QVC19CN075_3_5,Zrc,QVC19CN075_3_5,191112_201_QVC19CN075_3_5_Zrc,,,30,7,3.5,LODE_zrc,28,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.074,0.013,0.01051,0.00045,-0.20932,0.052,0.0096,72,12,67.4,2.9,140,350,<0.47,153000,348,<120,12.4,1.9,<6.9,1021,477500,1.265,<0.028,0.0041,12.76,0.105,1.6,3.49,0.38,20.58,6.68,86,31.9,157.9,33.6,313,60.9,10140,0.47,8.8,150.3,210.7,<0.47,16,<120,1.6,0.22,<6.9,18,8300,0.096,<0.028,0.0037,0.36,0.016,0.33,0.39,0.084,0.96,0.23,2.6,1,3.9,1.1,10,2,250,0.057,0.48,4.4,4.9,0.47,20,120,0.4,0.082,6.9,0.0033,0.055,0.0071,0.028,0.0032,0.0029,0.0037,0.029,0.017,0.011,0.015,0.006,0.0094,0.005,0.031,0.0022,0.052,0.007,0.031,0.0021,0.032,0.0031,0.0027
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191120_209_QVC19CN075_3_12,Zrc,QVC19CN075_3_12,191120_209_QVC19CN075_3_12_Zrc,,,30,7,3.5,LODE_zrc,22,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.07,0.013,0.01067,0.00049,-0.024888,0.048,0.0095,68,13,68.4,3.1,10,370,398,153000,466,<150,12.8,0.268,<8.4,1088,474000,0.96,<0.11,0.0134,10.87,0.107,1.61,3.31,0.47,18.8,6.42,85.5,33.48,169.4,35.7,335.3,69.1,9880,0.423,9.95,187.3,236.2,32,25,<150,1.5,0.09,<8.4,22,10000,0.1,<0.11,0.0078,0.37,0.018,0.45,0.45,0.11,1.1,0.41,2.9,0.9,5.6,1.2,9.7,2,250,0.046,0.54,7.1,6.4,0.53,24,150,0.47,0.094,8.4,0.0046,0.19,0.0045,0.11,0.0049,0.004,0.0047,0.083,0.023,0.0069,0.043,0.0094,0.013,0.0064,0.039,0.0084,0.02,0.0077,0.032,0.0029,0.035,0.013,0.0058
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191119_208_QVC19CN075_3_11,Zrc,QVC19CN075_3_11,191119_208_QVC19CN075_3_11_Zrc,,,30,7,3.5,LODE_zrc,22,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.068,0.01,0.01052,0.00037,0.13237,0.0469,0.0068,66.8,9.6,67.4,2.4,10,260,120,153000,455,<140,12.8,0.47,<8.6,1075,473300,0.94,<0.12,0.0117,11.1,0.117,1.57,3.17,0.448,19,6.38,86,33.1,164,35.6,331,69.4,10160,0.414,9.75,183.2,231.6,11,28,<140,2,0.14,<8.6,28,9800,0.12,<0.12,0.0072,0.35,0.02,0.38,0.41,0.067,1.2,0.3,2.7,1.5,6,1.2,8.8,2,300,0.052,0.39,6.8,6.3,0.63,24,140,0.47,0.1,8.6,0.0097,0.08,0.014,0.12,0.0051,0.0042,0.0018,0.043,0.049,0.0072,0.054,0.0065,0.014,0.0033,0.015,0.0088,0.056,0.008,0.041,0.0084,0.038,0.009,0.005
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191110_199_QVC19CN075_3_4,Zrc,QVC19CN075_3_4,191110_199_QVC19CN075_3_4_Zrc,,,30,7,3.5,LODE_zrc,14,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.071,0.01,0.01071,0.00068,0.1122,0.0484,0.0075,69.4,9.8,68.7,4.3,90,320,1.23,153000,314,<130,12.9,0.27,<7.8,728,473000,1.27,<0.095,0.047,12.77,0.109,1.37,2.67,0.197,14.5,4.77,59.9,23.7,120.5,25.8,263,48.8,10490,0.562,13.7,191,355,0.77,20,<130,1.4,0.098,<7.8,41,25000,0.16,<0.095,0.018,0.82,0.026,0.4,0.4,0.043,1.2,0.42,3,1.1,5,1.3,15,2.3,520,0.08,1.2,14,34,0.49,21,130,0.51,0.087,7.8,0.0055,0.091,0.0053,0.095,0.0024,0.01,0.002,0.1,0.027,0.017,0.025,0.0037,0.016,0.0038,0.035,0.0036,0.023,0.0078,0.039,0.0062,0.03,0.011,0.0044
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191130_219_QVC19CN075_3_16,Zrc,QVC19CN075_3_16,191130_219_QVC19CN075_3_16_Zrc,,,30,7,3.5,LODE_zrc,23,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.073,0.017,0.01042,0.00042,0.29919,0.05,0.011,71,16,66.8,2.7,70,430,97,153000,345,<170,13.3,0.87,11.8,1224,471400,0.93,0.48,0.081,13.29,0.13,2.44,4.27,0.66,23.9,7.88,99.5,36.8,185.8,38.5,354,73,9980,0.369,7.42,169,178.8,58,16,<170,1.2,0.14,7.9,37,6600,0.11,0.36,0.023,0.62,0.026,0.57,0.41,0.12,1.5,0.47,5.3,1.5,7,1.3,12,2.1,180,0.041,0.37,6.6,4.9,0.7,29,170,0.71,0.11,9.8,0.0057,0.095,0.0056,0.098,0.0077,0.005,0.0043,0.1,0.059,0.0086,0.026,0.011,0.067,0.0039,0.017,0.0094,0.075,0.0039,0.02,0.0036,0.043,0.016,0.0053
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191114_203_QVC19CN075_3_7,Zrc,QVC19CN075_3_7,191114_203_QVC19CN075_3_7_Zrc,,,30,7,3.5,LODE_zrc,16,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.066,0.01,0.01068,0.00039,0.0095097,0.0448,0.0072,64.4,9.9,68.5,2.5,-80,290,<0.57,153000,330,<140,14.2,0.25,<8.7,886,491000,1.48,<0.083,0.039,14.9,0.062,1.32,2.81,0.388,16.2,5.36,71.5,28.3,140.9,29.9,286,58.2,10880,0.543,8,146.9,194,<0.57,26,<140,1.8,0.091,<8.7,34,14000,0.15,<0.083,0.013,0.73,0.013,0.34,0.45,0.071,1.3,0.32,3.8,1.6,7.8,1.6,17,3.2,440,0.078,0.65,8.7,10,0.57,22,140,0.55,0.091,8.7,0.01,0.091,0.0053,0.083,0.0051,0.0048,0.0064,0.11,0.05,0.0082,0.025,0.0097,0.015,0.0038,0.03,0.0078,0.05,0.0037,0.046,0.0064,0.031,0.011,0.0046
1,QVC19CN-075,Yarabamba I,Yarabamba Monzonite,Batholith,190912,191113_202_QVC19CN075_3_6,Zrc,QVC19CN075_3_6,191113_202_QVC19CN075_3_6_Zrc,,,30,7,3.5,LODE_zrc,13,67.1,1.61,2.1,N,0.64,64.7,1.87,201.3,0.076,0.013,0.01057,0.00051,0.4084,0.0519,0.0081,74,12,67.8,3.3,220,320,99,153000,336,<140,14.4,7.86,49,1261,475000,1.16,0.78,0.067,13.81,0.18,2.94,5.95,0.6,29.2,8.92,110.2,41.2,198.1,40,365,69.6,10080,0.542,9.47,197.9,241.5,27,17,<140,2.2,0.65,12,39,12000,0.13,0.39,0.023,0.66,0.031,0.59,0.49,0.13,1.2,0.38,6.3,2.4,8.1,2,18,3,420,0.046,0.57,7.7,9,0.53,22,140,0.54,0.088,8.3,0.0059,0.099,0.012,0.049,0.0044,0.0052,0.0049,0.053,0.061,0.0089,0.027,0.0081,0.029,0.0041,0.018,0.0068,0.057,0.0092,0.021,0.0086,0.033,0.015,0.0052
