Filename,Rank,Sample,Unit,Type,Annealed,Probe #,P2O5,Na2O,SiO2,Al2O3,K2O,SO3,MnO,FeO,CaO,Cl,MgO,F ,Total,,P apfu,Na apfu,Si apfu,S apfu,Mn apfu,Fe apfu,Ca apfu,Cl apfu,Mg apfu,F apfu,est OH apfu,,O=F,O=Cl,,Corrected Total,Est OH (wt.%),Net Corrected Total
201026_P23982_AP01_Transect_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,38.25,0.09,2.38,0.9,0.06,0.01,0.11,0.19,51.66,1.89,0.01,1.45,98.84,,5.37,0.03,0.39,0,0.02,0.03,9.17,0.53,0,0.76,0.71,,0.61,0.43,,97.8,1.23,99.04
201026_P23982_AP01_Transect_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Feb,39.5,0.1,0.65,-0.02,0.01,0,0.14,0.16,53.12,2.38,0.01,1.27,99.1,,5.57,0.03,0.11,0,0.02,0.02,9.47,0.67,0,0.67,0.66,,0.53,0.54,,98.03,1.14,99.17
201026_P23982_AP01_Transect_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Mar,39.75,0.09,0.68,-0.02,0,0.01,0.15,0.12,53.18,2.16,0,1.32,99.43,,5.59,0.03,0.11,0,0.02,0.02,9.46,0.61,0,0.69,0.7,,0.56,0.49,,98.39,1.21,99.6
201026_P23982_AP01_Transect_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Apr,38.67,0.07,1.1,0.13,0.02,0.01,0.13,1.03,52.24,2.13,0.05,1.31,98.84,,5.49,0.02,0.18,0,0.02,0.14,9.38,0.61,0.01,0.69,0.7,,0.55,0.48,,97.81,1.21,99.01
201026_P23982_AP01_Transect_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-May,39.81,0.16,0.56,-0.03,0.01,0.01,0.17,0.19,53.09,2.57,0.01,1.15,99.47,,5.59,0.05,0.09,0,0.02,0.03,9.44,0.72,0,0.6,0.67,,0.48,0.58,,98.41,1.16,99.57
201026_P23982_AP01_Transect_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jun,39.81,0.09,0.56,-0.03,0,0.01,0.17,0.16,53.01,2.88,0,1.01,99.49,,5.6,0.03,0.09,0,0.02,0.02,9.43,0.81,0,0.53,0.66,,0.43,0.65,,98.41,1.14,99.55
201026_P23982_AP01_Transect_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jul,39.71,0.13,0.69,-0.04,0.01,0.01,0.15,0.21,52.79,3,0.01,0.99,99.72,,5.58,0.04,0.11,0,0.02,0.03,9.39,0.84,0,0.52,0.64,,0.42,0.68,,98.63,1.1,99.73
201026_P23982_AP02_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,40.85,0.1,0.4,-0.02,0.01,-0.01,0.06,0.14,53.96,1.18,0.03,2.3,100.48,,5.59,0.03,0.06,0,0.01,0.02,9.35,0.32,0.01,1.18,0.5,,0.97,0.27,,99.25,0.88,100.12
201026_P23982_AP02_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Feb,40.35,0.1,0.51,-0.01,0,0,0.06,0.17,53.88,1.08,0.02,2.24,99.93,,5.57,0.03,0.08,0,0.01,0.02,9.41,0.3,0,1.15,0.55,,0.94,0.24,,98.74,0.96,99.7
201026_P23982_AP03_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,40.55,0.06,0.42,-0.03,-0.01,-0.01,0.11,0.12,53.7,1.84,0.01,1.46,99.66,,5.64,0.02,0.07,0,0.02,0.02,9.46,0.51,0,0.76,0.73,,0.61,0.42,,98.63,1.26,99.89
201026_P23982_AP04_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,41.01,0.14,0.2,-0.02,0.01,-0.01,0.14,0.34,53.89,2.96,0.01,1.25,100.87,,5.62,0.04,0.03,0,0.02,0.05,9.35,0.81,0,0.64,0.55,,0.53,0.67,,99.68,0.95,100.63
201026_P23982_AP04_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Feb,41.11,0.09,0.25,0.08,0.01,0.02,0.13,0.18,54.03,2.57,0.01,1.34,100.72,,5.63,0.03,0.04,0,0.02,0.02,9.36,0.7,0,0.69,0.61,,0.56,0.58,,99.58,1.06,100.63
201026_P23982_AP05_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,41.13,0.1,0.4,-0.02,0,0.08,0.06,0.16,53.99,1.22,0.02,1.71,100.34,,5.67,0.03,0.07,0.01,0.01,0.02,9.41,0.34,0,0.88,0.78,,0.72,0.28,,99.34,1.36,100.7
201026_P23982_AP06_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,40.81,0.08,0.24,-0.01,0.01,0,0.13,0.15,53.73,3.2,-0.01,1.05,100.6,,5.63,0.03,0.04,0,0.02,0.02,9.38,0.88,0,0.54,0.58,,0.44,0.72,,99.44,1,100.43
201026_P23982_AP07_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,39.71,0.11,0.34,-0.04,0,0.02,0.12,0.41,53.68,2.37,-0.02,1.67,99.57,,5.53,0.04,0.06,0,0.02,0.06,9.46,0.66,0,0.87,0.47,,0.7,0.53,,98.33,0.82,99.15
201026_P23982_AP07_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Feb,39.74,0.09,0.33,-0.04,0,0.02,0.11,0.24,53.54,2.48,-0.01,1.33,99.2,,5.57,0.03,0.05,0,0.02,0.03,9.5,0.7,0,0.7,0.61,,0.56,0.56,,98.08,1.05,99.13
201026_P23982_AP09_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,39.44,0.12,0.64,-0.03,0.01,0.02,0.14,0.14,53.21,2.41,0.01,1.26,99.17,,5.56,0.04,0.11,0,0.02,0.02,9.49,0.68,0,0.66,0.66,,0.53,0.54,,98.1,1.13,99.23
201026_P23982_AP11_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,41.56,0.11,0.2,-0.02,0,0,0.16,0.33,53.91,2.72,0.01,1.33,101.24,,5.66,0.03,0.03,0,0.02,0.04,9.29,0.74,0,0.68,0.58,,0.56,0.61,,100.07,1.01,101.08
201026_P23982_AP11_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Feb,41.23,0.09,0.2,-0.02,0,0,0.12,0.32,53.97,2.61,0.01,1.39,100.96,,5.64,0.03,0.03,0,0.02,0.04,9.34,0.71,0,0.71,0.58,,0.59,0.59,,99.79,1,100.78
201026_P23982_AP11_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Mar,40.91,0.1,0.2,0,0,0.03,0.14,0.36,53.92,2.58,0.01,1.44,100.7,,5.61,0.03,0.03,0,0.02,0.05,9.36,0.71,0,0.74,0.55,,0.61,0.58,,99.51,0.96,100.47
201026_P23982_AP11_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Apr,41.24,0.09,0.22,-0.02,0.01,0.02,0.15,0.35,53.93,2.74,0.01,1.31,101.04,,5.64,0.03,0.04,0,0.02,0.05,9.33,0.75,0,0.67,0.58,,0.55,0.62,,99.87,1.01,100.88
201026_P23982_AP12_and_AP13_01_Qti,2,QVC075,Yarabamba Monzonite,Groundmass,NA,01-Jan,39.44,0.11,0.96,-0.01,0,0.01,0.16,0.26,52.11,2.81,-0.01,1.11,99.46,,5.57,0.04,0.16,0,0.02,0.04,9.31,0.79,0,0.59,0.62,,0.47,0.63,,98.36,1.08,99.43
